,bias,treshold,mu_p_ask,mu_p_answer,mu_p_upvote,mu_p_active
0,"[-0.6248142734921774, -0.6350623670278546, -0.6219073548055456, -0.6377310834885249, -0.6268349677520216, -0.6297190822970039, -0.6251016950567614, -0.6187301770508195, -0.6073747094409085, -0.6326451288429966]","[-0.7579899883261763, -0.7773886205358203, -0.7710222109447794, -0.7918969052679345, -0.771661647179162, -0.7925612396401148, -0.759539980998966, -0.7696303305471611, -0.7679694344504849, -0.7784742772527301]","[-0.9491928890693901, -0.9422445273851923, -0.9562796370438941, -0.9730996451162657, -0.9424588030149708, -0.9728005963808684, -0.9552593142379034, -0.9533525298485219, -0.9616177424731575, -0.9657635968957142]","[-0.7258084012287064, -0.7251436812926961, -0.7366252442517459, -0.7542076203338806, -0.7607711212034113, -0.7399621143988596, -0.761587467287343, -0.742787973595335, -0.7369720946016892, -0.7321454058448158]","[-1.1471488980367806, -1.596862296370124, -1.6920086995266141, -1.9283464029163997, -1.8386912615007323, -1.6460468959550303, -1.306833845414692, -1.8513764190903712, -1.8933339239680587, -1.2123443488003949]","[-2.0885076537024907, -2.1061066405399607, -1.994916498295546, -2.1364064906060616, -1.9937376710321166, -2.035710877704542, -1.9123148224786752, -2.054647243338313, -2.036119286788924, -2.078792643938704]"
1,"[-0.6613703435392803, -0.6441438128191268, -0.658613671697888, -0.6551464564603037, -0.6703932619172757, -0.671552062879943, -0.6776128975125044, -0.666357005930129, -0.6683092268492997, -0.6620504567508377]","[-0.7791011148507164, -0.7616561392938037, -0.7813270353643472, -0.7722045023738878, -0.7898977050548714, -0.767369732288834, -0.7828062254870514, -0.7800929440142687, -0.7716841893310565, -0.7851933949589212]","[-0.9201572804607713, -0.9249223354290254, -0.9518570954488964, -0.9259936150372851, -0.9428176963383743, -0.9450961814224824, -0.916321415823311, -0.9321829699777981, -0.9086997379682008, -0.9374176771592689]","[-0.7682692303163073, -0.7581850005818811, -0.766501082456231, -0.7609562234683259, -0.7394454778142979, -0.7542719111350515, -0.754172260762175, -0.745412198864797, -0.7436407817818201, -0.7458971291965443]","[-0.9872418860206499, -0.8952982521041651, -1.057109330255504, -1.2810763104454026, -1.2953303653166646, -1.1275684433098407, -1.500757172105534, -0.9563615139076489, -1.122621752175922, -1.0237248488471202]","[-1.9079397725324205, -2.016279207527676, -1.8093399906342744, -1.8586294698912458, -1.9170046017995022, -1.9606286645371653, -1.594315398054924, -2.0056858937874846, -1.769991217252425, -1.9560784681159975]"
2,"[-0.7306460081187427, -0.7213112169779639, -0.7405402711406636, -0.7497296184476012, -0.7215473525316164, -0.7252175338149027, -0.7460444979206413, -0.746406927730284, -0.7217141504181396, -0.7293126535267904]","[-0.7683114988229622, -0.7601281199641395, -0.7843026495158507, -0.7712106976777687, -0.7818075710611488, -0.7654133722874927, -0.7970828863545942, -0.7822203411856129, -0.7695935299792344, -0.7836938072813958]","[-0.893859471818918, -0.9055495861306748, -0.9050900085106022, -0.9019137208457934, -0.9130484731687839, -0.905558881042608, -0.885917427770314, -0.8943267203222798, -0.921343389472351, -0.9150389695124168]","[-0.7704626308241148, -0.7343586310838514, -0.7553083459334093, -0.747284878517401, -0.7658134487416117, -0.744323774363984, -0.7587774621595972, -0.7616913100263284, -0.7625928040293954, -0.7309390687969114]","[-0.927079646781907, -0.9714561812226132, -0.9687393097085174, -1.0203305096313318, -0.9640957096622172, -1.015417970391589, -0.886383916038626, -1.031760523458956, -0.9897861825865439, -0.9491601633701566]","[-1.7254546834225801, -1.095158886903174, -1.3053556233365626, -1.4167221977364886, -0.9054849583471598, -1.3896631720230241, -1.323064274802713, -0.9735244320480563, -1.1279023361374234, -1.113405983016017]"
3,"[-0.7519376386346298, -0.7504471368177666, -0.7543827465636271, -0.7803247845300785, -0.7512587986099709, -0.7693299793999752, -0.769341784224606, -0.7692785323042132, -0.7399965845008362, -0.7516668183394121]","[-0.7693236215536203, -0.7975778282070998, -0.7877973977591044, -0.7570402626637956, -0.7880770830748979, -0.7998449277760309, -0.7833625284833773, -0.7867283181193785, -0.7714074947639218, -0.7682287241858604]","[-0.8595497526036845, -0.8834357071836595, -0.8616195931920241, -0.8861830376611316, -0.8757543313640077, -0.8933405730805466, -0.8778156543625383, -0.8872850122168816, -0.8761850447432419, -0.8810137679726892]","[-0.7663220761465371, -0.7567578442322256, -0.7642271890514037, -0.7530925446317505, -0.7768807444171911, -0.7613602280433653, -0.7471130857818112, -0.777891283863329, -0.7679308608659566, -0.772869753422237]","[-0.9171364502480329, -0.8943506518686056, -0.8394597629940216, -0.9270639763760495, -0.8676234908337599, -0.8577912296245527, -0.8396171866262341, -0.9241399976802274, -0.8924137511742921, -0.9336258639668628]","[-0.8436458637256427, -0.8586255946337427, -0.8527790562357529, -0.8132176977175573, -0.7808236030697296, -0.8831615414427506, -0.7800501666838482, -0.8101315491602675, -0.8579393728646609, -0.7756015799391693]"
4,"[-0.7979804327445169, -0.7819330584855015, -0.7804870404057335, -0.7618819394799193, -0.7743866347115848, -0.7707030654086352, -0.7700345073381126, -0.7756652296581111, -0.7845425556838339, -0.745903932412499]","[-0.759876608184732, -0.7891738116220759, -0.7680386208397258, -0.8058834966722908, -0.7809383356527071, -0.7688680916755403, -0.7889305368621903, -0.7711225579416381, -0.761842266994859, -0.7750011717967782]","[-0.841615114184722, -0.8398143786549979, -0.8452938717561878, -0.8674556306780634, -0.8250623720709171, -0.8528427035907804, -0.8468819496008059, -0.849401003475975, -0.8470239116753003, -0.8321987709747614]","[-0.7615462115526291, -0.7664118041615318, -0.7341904324873485, -0.7649990238794934, -0.7609823343069335, -0.7541883124648171, -0.7830052535231886, -0.7634122211481592, -0.7708308301743433, -0.7618832182844926]","[-0.8485623288474059, -0.8072008436852708, -0.8353075766024639, -0.8801100560080541, -0.8330638847417221, -0.8629661320691133, -0.848743305598058, -0.8030179180686041, -0.8516522222914822, -0.845459720545543]","[-0.7672203327940648, -0.8914712186436522, -0.7947064618830976, -0.7496776922108902, -0.8268814923600915, -0.8298669000666954, -0.8429177275820948, -0.798477557763153, -0.831148121961774, -0.8199740642858818]"
5,"[-0.8139585599004853, -0.8089542166458377, -0.7556091181866806, -0.7991341864692378, -0.7990826076670533, -0.8098553271032334, -0.799552068827765, -0.7963426146526696, -0.7853859798665239, -0.7613852352779783]","[-0.8007575988162144, -0.7577525647617377, -0.7915456522177303, -0.7780259057232283, -0.7975861593987104, -0.7645549880368424, -0.7868073753620534, -0.7636839366924575, -0.7850554292118994, -0.7765759005703251]","[-0.814848234464882, -0.8257208096277118, -0.8107456467119473, -0.8126842893079315, -0.8368629519052875, -0.8265026628953498, -0.8221409738834868, -0.8129590152844881, -0.8120757121905624, -0.8264975744145232]","[-0.7838081267800537, -0.788795128929089, -0.7700466113357649, -0.7724163159069907, -0.7710004727550004, -0.7336644515969516, -0.7989484197413584, -0.7691332980646106, -0.7729857050810468, -0.764568163054738]","[-0.7979315375605678, -0.8006242473714397, -0.8170189366462244, -0.8111693290685086, -0.8192591708754744, -0.8030190963295566, -0.7971708147897522, -0.7967284966526611, -0.810474293739433, -0.8281187666229761]","[-0.7663617247498066, -0.7741381651401782, -0.7541089173701766, -0.807965038984024, -0.7874688317343759, -0.8574173845196712, -0.8096026592264945, -0.7515051509799737, -0.7584512826473234, -0.7528265093814103]"
6,"[-0.8667660746357604, -0.8044949675272085, -0.8181372009857228, -0.8543947396236775, -0.8437947764519855, -0.8461260490502659, -0.8923201072475737, -0.7991832413292688, -0.8344542549831168, -0.8630007498654396]","[-0.769185752700349, -0.7901390139361801, -0.7813956474462658, -0.7839786442952424, -0.7822515497079361, -0.7642232888665919, -0.774769508499731, -0.7851839647638226, -0.7790630266739282, -0.7716198496301869]","[-0.8110077057589118, -0.7977286475033633, -0.8108388760268498, -0.7863330305166675, -0.8054346887655487, -0.7979078358380337, -0.8140029860508948, -0.8086649352218278, -0.8190751023566989, -0.8225734480314926]","[-0.7755710514447948, -0.7862940650782471, -0.7480329204924363, -0.7700335321969196, -0.7379159965669772, -0.759372272967461, -0.7754892947969589, -0.7735181448882132, -0.7846847846838213, -0.7736195157867934]","[-0.8000089437243663, -0.8119492046875333, -0.7469105883772179, -0.7804245202857263, -0.7920580442394684, -0.8171237781012237, -0.7786652831385765, -0.809717642375762, -0.7940167504260287, -0.794460246536115]","[-0.7541087096008992, -0.7622936699449543, -0.7877772342675423, -0.8220569679220449, -0.789650311255229, -0.7763658413264354, -0.7680175322746492, -0.8080626910230865, -0.7861697115658403, -0.7338469725344824]"
7,"[-0.8934988643912432, -0.8860518841000695, -0.8996119557186241, -0.9428070072204164, -0.9608609731785263, -0.9000859785838898, -0.9395360240523086, -0.8946566845131576, -0.8898212370609084, -0.8753621417399304]","[-0.807018246158287, -0.7747890496305703, -0.7743395983856022, -0.7948954432344078, -0.7789447931214545, -0.7561891846760673, -0.7933862376633983, -0.7806176146342669, -0.754026982325405, -0.7816501932257063]","[-0.8107088334538763, -0.7770010746875177, -0.7921612178653845, -0.7900809630105223, -0.7811043137140915, -0.7910731238960552, -0.7771620854119743, -0.7749776548983659, -0.7926021549506149, -0.7952502372770444]","[-0.8129358288100867, -0.7558993588157839, -0.766970244926003, -0.7693644158641724, -0.7989176351351985, -0.7796721780487541, -0.7667045196092307, -0.7898402386411059, -0.7863896587114662, -0.7742257529558328]","[-0.7788818454997126, -0.7507881408832341, -0.7845615343534809, -0.7817530576635823, -0.7869068644648963, -0.7915335673115242, -0.7807417626931249, -0.7823171224135863, -0.7650576880764645, -0.7840856200429492]","[-0.774159419945758, -0.7728243956191094, -0.7609502961273955, -0.7707756747297874, -0.7895616489092154, -0.7755637499596386, -0.7673313469880197, -0.7729310647145499, -0.8064651856375097, -0.805767221888505]"
8,"[-0.941556276360669, -0.9325016989002536, -0.9177690943850193, -1.069861214887093, -0.9656794706951956, -1.0310382740142736, -1.1247337184264456, -1.0124295037448845, -0.9615195031414484, -0.9801218675243097]","[-0.7998062623803702, -0.7883666854550484, -0.7532310181606736, -0.7961598793924265, -0.7991826097036866, -0.8006862813106632, -0.7982788967997437, -0.7553138284633181, -0.7886236295354286, -0.769441176344988]","[-0.7658535047133794, -0.7581099747570111, -0.7333765291838262, -0.7461492572639482, -0.7645925435200454, -0.7546799674897317, -0.7461941733522771, -0.7782585249303421, -0.7460774607901913, -0.7679485675595199]","[-0.7577870409422158, -0.78660076839815, -0.8159473227534035, -0.7840144049660931, -0.7726357917070221, -0.768949462645282, -0.7779456112503844, -0.78866446345217, -0.7687892603981186, -0.7683796248688858]","[-0.7309990751839925, -0.7880167491751071, -0.7629123427940667, -0.7824955457382272, -0.7733534217558152, -0.7579060732283466, -0.761546669824751, -0.76420767331423, -0.7716147072213547, -0.7665573639834666]","[-0.7612144238462878, -0.8178829098615427, -0.7621382793096205, -0.7748913830069178, -0.7831207273581491, -0.7756132198512043, -0.7630807909388309, -0.7608738531652995, -0.7945517908546491, -0.8077994722691817]"
9,"[-1.1561464720714483, -1.1582537165757458, -1.3216845013021732, -1.29097174823605, -1.2901702535556163, -1.2896410086383006, -1.2338288818070935, -1.1307753980020399, -1.120164106756761, -1.1101987716576933]","[-0.8020957174896717, -0.7711011512048747, -0.7911379111755023, -0.8090807909987702, -0.786352741476599, -0.7936778565381254, -0.7995058872205545, -0.7958628165307503, -0.7959402966098841, -0.7832861467864551]","[-0.714779348524567, -0.7506793767868856, -0.7340844512353416, -0.738227257720643, -0.7501192011928476, -0.690523541168435, -0.7466559011718347, -0.7127697315569268, -0.7454714853145816, -0.7407090135839526]","[-0.7938541243442079, -0.7974306852814754, -0.7738688393425543, -0.776003603715464, -0.803597515391557, -0.7816212795485272, -0.7656606884844146, -0.8082384838909568, -0.802751212119756, -0.7898293061852427]","[-0.7513204110417053, -0.7435058322296141, -0.7631785799231557, -0.7509872764908068, -0.7218705961456217, -0.7576082314388037, -0.7277695183939668, -0.7493880790131202, -0.7502403489825104, -0.7356489748581577]","[-0.7762629422255767, -0.7692904557578093, -0.8033517001972078, -0.7708852650675813, -0.7811421204676611, -0.7928931007551472, -0.8019831946519776, -0.7870839048248447, -0.7747294899512065, -0.7885038447971523]"
