,bias,treshold,mu_p_ask,mu_p_answer,mu_p_upvote,mu_p_active
0,"[-0.2798349702332104, -0.28948669677817346, -0.2801201427150734, -0.29119241197139195, -0.28378550293016064, -0.2840231264165096, -0.28792406796972075, -0.2893696528981069, -0.28707168036774383, -0.2786319654215673]","[-0.6406846819602533, -0.6473101409748497, -0.6553957573910356, -0.6472433751984701, -0.6366027573701781, -0.6473785109758168, -0.6394650215141784, -0.6479306483800464, -0.6170652240145281, -0.6494355718899765]","[-0.8668870308372656, -0.889742924842802, -0.9036656341644181, -0.8893494194780882, -0.8735048148215097, -0.9009212792191232, -0.8876473703185404, -0.8928926055385413, -0.9118932922319669, -0.8998116918472833]","[-0.717880013326181, -0.7162764665590726, -0.743306456436587, -0.7540641689502893, -0.7666074655675325, -0.7272631611827666, -0.7731787673658767, -0.7534005310535872, -0.7444647316472872, -0.7533043338203351]","[-1.3438639141951383, -1.6833210983517304, -1.6962629336916388, -1.7815375014646904, -1.7186596104739693, -1.687946937710244, -1.5728771236803614, -1.7519592172850655, -1.741547985016599, -1.3182892955247598]","[-1.9447128136494212, -1.9639320669551952, -1.904581257386777, -2.051951120939125, -1.9118164875977115, -1.9993156803648096, -1.913203089420864, -2.012974403468438, -1.94811767405738, -1.9688505187687997]"
1,"[-0.32659219615481655, -0.3195409093841787, -0.31973280241258906, -0.33203610177220866, -0.32383163513880625, -0.32444086906418346, -0.31648180475270515, -0.3026607936803846, -0.32299082543087554, -0.31035861714337715]","[-0.6775053499678226, -0.672158979636276, -0.6971171086514599, -0.6721502296288824, -0.7050459996727293, -0.6892841140572679, -0.6635509862197225, -0.6417252465268805, -0.6583457375529798, -0.6908440606497636]","[-0.8470252259216181, -0.8670727255694269, -0.8723145413529899, -0.876841643460612, -0.9041129037343192, -0.8990934596192106, -0.847481111587012, -0.8609736422635963, -0.8535304291686114, -0.8708892746427188]","[-0.7367365245748129, -0.7567852494977765, -0.7485737174803758, -0.7689194261603025, -0.7566762390059639, -0.7740525731738209, -0.7216125479205843, -0.7322584940723206, -0.7301552182158548, -0.7827021777844445]","[-1.1179759309380248, -0.9755944827726712, -1.2375760186994125, -1.472951381715591, -1.4826435781227478, -1.2847552862442553, -1.6125380180556212, -1.068355810903707, -1.2527776648221334, -1.1932562471635075]","[-1.8700964075343505, -1.8777549459382208, -1.8382067806783755, -1.9219629643150224, -1.9417997306646297, -1.886865658102247, -1.8201662264655607, -1.8718567654206864, -1.8383930271717233, -1.919684765952142]"
2,"[-0.4525038429079705, -0.4600532390775687, -0.4624093284186408, -0.4664804245819369, -0.44860814236098917, -0.4672614621168475, -0.4576670592695607, -0.45349856396003685, -0.46210878287877377, -0.4499319018252921]","[-0.6925977171422585, -0.6836691849995811, -0.6725579369490088, -0.6925276392764795, -0.7026464637595174, -0.6414975873052793, -0.7049560976970286, -0.6917788443358178, -0.694755848719572, -0.6868447044632936]","[-0.827899950977662, -0.8250728463352583, -0.8376132057336301, -0.8313189880949658, -0.849954624028407, -0.8487223630720002, -0.8421387839899835, -0.8351602093129155, -0.8621723627807688, -0.8487010713049431]","[-0.7409156882495062, -0.7001621491108273, -0.7436043148114583, -0.7346058202297597, -0.7277999329377579, -0.710110170532622, -0.7229174396237014, -0.7251706246370402, -0.7541367088005744, -0.7105975675038428]","[-1.003918341694383, -1.127758464453916, -1.0801144486517384, -1.1598677895504879, -1.0868741385281735, -1.17142222994672, -0.9416260644468117, -1.1828921545157136, -1.124641740702296, -1.0699255238957623]","[-1.7693326443450497, -1.239851153238815, -1.5824884328754014, -1.6809017635792303, -0.9516823869390277, -1.6075307837354058, -1.6069905922061087, -1.032987567877434, -1.3172282153588264, -1.2866362521058612]"
3,"[-0.5728824561626848, -0.5938812249485557, -0.5914986077182796, -0.6173040977101081, -0.5604406252728292, -0.5711788972771902, -0.6015114062282224, -0.5871667778575411, -0.5719783610530579, -0.5741993717907827]","[-0.6754355294260792, -0.6917853627826182, -0.6730519905436096, -0.6386956453526328, -0.6942236268500027, -0.7022208490761128, -0.681051747135784, -0.6751220946892317, -0.6702778327126124, -0.6849797926204135]","[-0.7837511159331432, -0.8078097899276147, -0.7819851301950979, -0.8246472952541043, -0.8014574725862624, -0.817256404136137, -0.8057413894210855, -0.8083510505663556, -0.8006487758132541, -0.7881068693814856]","[-0.7239514880195613, -0.7154573312251564, -0.738517349819277, -0.7123194803267966, -0.7350993130189979, -0.7332250766280706, -0.7159181222266224, -0.7325140386768623, -0.7156090008665629, -0.7301588821245548]","[-1.0186246349291244, -0.9683583241348087, -0.868233548436673, -1.0238540208017457, -0.9225659484425333, -0.9085571958057503, -0.8908151278588633, -0.9775225330308676, -0.9633195032952081, -1.033884059069207]","[-0.8970255999450936, -0.9304944920861049, -0.9154683333372327, -0.8679450482919301, -0.8048896108232184, -0.9517890113192581, -0.810745263380419, -0.846132509357641, -0.9323555647315059, -0.804321641233071]"
4,"[-0.6603879796727786, -0.6571734909651334, -0.6606575358272326, -0.6698184833751084, -0.6423903809562158, -0.6572790128472316, -0.6638282993221846, -0.6635313800966833, -0.6509514605061728, -0.6293097211841411]","[-0.6743576236331643, -0.6733825590750095, -0.6618526062864015, -0.69304406131075, -0.6744087558877447, -0.6451667025538127, -0.6823539803302138, -0.6616061852749475, -0.6657052755316691, -0.7007807714917946]","[-0.7787235363790611, -0.7682216819822824, -0.7726681624379149, -0.7512338179910134, -0.747404060200121, -0.7669898069809269, -0.7948661192348674, -0.7741946760154654, -0.7721053979441926, -0.7430821657966765]","[-0.722743648097074, -0.7350781913379288, -0.6863392759238407, -0.7113112010263607, -0.683901124118908, -0.7061285698367838, -0.7161145134819105, -0.6987030517125856, -0.7215446166088039, -0.720575430846237]","[-0.8534513072831024, -0.783405485824919, -0.8332175505757528, -0.9185759943785831, -0.8604343692608857, -0.867610958788077, -0.893683829475336, -0.7772911292544261, -0.8484309832794465, -0.8757438716614976]","[-0.7799950027337105, -0.9929604235437823, -0.8080613682638476, -0.7390585489958553, -0.8381986879303363, -0.8706208151588469, -0.8687571645877904, -0.7983332380280009, -0.8708511563126684, -0.8645791902825952]"
5,"[-0.7901456543710541, -0.7331474870339832, -0.7137530219404256, -0.7529982550935329, -0.7451339312509486, -0.7655611673971815, -0.7781717481874608, -0.7585049895089874, -0.7515501896688166, -0.7185419977796421]","[-0.7061236319575944, -0.6483613302223891, -0.6959904132072593, -0.6687534810582271, -0.7085743378490031, -0.6751488549490389, -0.6912807105763109, -0.6748685304210064, -0.7063835294089668, -0.6849399930731532]","[-0.7317170251003162, -0.7607884174608148, -0.7376494281014846, -0.7298145312860365, -0.7311118537681198, -0.7285452958750196, -0.7171806400355203, -0.7380405928170034, -0.7333835722767283, -0.7282483481579032]","[-0.7104314486183005, -0.6906985530690213, -0.7137455749876425, -0.7023162746885971, -0.7040319888335019, -0.6561804798605559, -0.7386840960386168, -0.7135943714655207, -0.6913073804735224, -0.686742901825228]","[-0.7926688639024704, -0.7581190815430895, -0.797008385930495, -0.7728032727986534, -0.7968200463465906, -0.7921109142006232, -0.7956337748374729, -0.7719666578843865, -0.818163928696417, -0.8350476535353055]","[-0.7537272106469554, -0.7490538154951445, -0.7585064802297207, -0.8089986849653085, -0.7600742650421172, -0.8865653182823936, -0.8176573571441607, -0.7471725177169332, -0.7226356500915757, -0.7246112579914962]"
6,"[-0.8623964449859813, -0.7742925793563337, -0.7989954754988461, -0.8349785825186972, -0.8435009950841164, -0.8515666198701642, -0.888824218366783, -0.7984150194374177, -0.8187876810218332, -0.8575321964273388]","[-0.6782507696936877, -0.7152400025900412, -0.7076262039481279, -0.69900364323334, -0.6984869820980808, -0.6784348769086828, -0.6727036431190364, -0.7067479608669172, -0.7083750305851533, -0.6701701344196291]","[-0.697800524506533, -0.7119705723348266, -0.7713202901733752, -0.6886274182168015, -0.7306888501247316, -0.7258887150468034, -0.728640156859614, -0.7011919452356452, -0.7251358101003831, -0.730731554016556]","[-0.6937086229845081, -0.7104204978823123, -0.6615170549754092, -0.6880718558966309, -0.6669581639142883, -0.6664204364610943, -0.6950262460395918, -0.6903242458769224, -0.7128743280409129, -0.6740345401776516]","[-0.7691145054782476, -0.7511914935785124, -0.7078945862624203, -0.7394004788739678, -0.7383484998539379, -0.7693988614436391, -0.7390324144554541, -0.7414913957166888, -0.733248173231034, -0.7284170526783398]","[-0.6978303870871673, -0.7058070969502284, -0.7329534955443302, -0.7826039708245633, -0.7472675273422281, -0.7138696765528646, -0.7214457570058601, -0.7560720094441101, -0.7635653171699925, -0.6819871874464838]"
7,"[-0.9163791739332823, -0.8951123235393353, -0.9264771468935515, -0.9932700560505294, -0.9932341535614525, -0.9096128593372148, -0.981820600211093, -0.9135895135092015, -0.9180885741475188, -0.9080112846475584]","[-0.7196099227430887, -0.7049153645847539, -0.6937772108343628, -0.7038735944112426, -0.7024669945270892, -0.6828309530933775, -0.7378626901022394, -0.712080639287175, -0.6832904549764661, -0.7143390446734744]","[-0.7244455868858478, -0.6948999568390806, -0.7010450554947811, -0.6899181769153621, -0.667314281234717, -0.6992800395822747, -0.6969300352839187, -0.6667319657609837, -0.6901723822451064, -0.6898493730243552]","[-0.7095081875269464, -0.6573865496644092, -0.6548943664439252, -0.6794381123921877, -0.709706300845493, -0.6876481591455695, -0.6816075451870959, -0.7040548001769766, -0.7013410431606582, -0.6875044429093229]","[-0.6610449759714575, -0.6598934165109488, -0.7018889953418737, -0.707174702262034, -0.6973834273451968, -0.6869140695370094, -0.6999497035529549, -0.6974833995108165, -0.6632935198483595, -0.6978884285170892]","[-0.6948073975642686, -0.6794565955309223, -0.6810805624743143, -0.6856053828085553, -0.6706513553033339, -0.6885948036212525, -0.7017715827188008, -0.6804358194315081, -0.7000404690213038, -0.7086812308970472]"
8,"[-0.9990832001265466, -0.9451155768294902, -0.9179539221063313, -1.1833506383217605, -0.9990871538228883, -1.1050799496376542, -1.2504147762858904, -1.0599858332448457, -0.990885161151908, -1.0274260658602659]","[-0.7547104307644533, -0.7190475982507872, -0.6699229750071322, -0.7167139031256341, -0.7245032874987437, -0.7463400768744861, -0.7109588403003676, -0.680984424134298, -0.6933574304864029, -0.6849935612394565]","[-0.6698918631348684, -0.6573284779491034, -0.6311672728186903, -0.6295299681546954, -0.6690414260548885, -0.625723609462012, -0.6305274506395439, -0.6773526836094754, -0.6460174519939352, -0.6634697229484247]","[-0.6374912771188694, -0.708769037876438, -0.6863533075910195, -0.687150534925526, -0.670331128652843, -0.699307881957232, -0.6628104409218095, -0.692858021399988, -0.6574697502245863, -0.668058809159152]","[-0.6358438444606022, -0.6630173888592371, -0.6420660164590045, -0.6622313926773139, -0.6807039309258114, -0.6410557348592164, -0.6470211182673542, -0.6488724497224105, -0.6676359331065985, -0.627018932695213]","[-0.640977724313081, -0.6691256377050753, -0.6182384612676322, -0.6402123252439216, -0.6673909195949012, -0.6620029069918889, -0.6519898794218875, -0.6395412478851729, -0.6689356981642053, -0.6691010180246137]"
9,"[-1.200874885501107, -1.2494698149772656, -1.3719384206884364, -1.3760703815190296, -1.3556932346242805, -1.350196514116199, -1.3242236393282387, -1.1968759239396844, -1.1689280727168687, -1.1519931472385536]","[-0.7189323437088907, -0.7148062321798863, -0.7083630182625407, -0.7233279511953951, -0.7172735456246985, -0.7181464562876504, -0.7022039313048201, -0.7265358847865564, -0.7455770657821086, -0.69577188718074]","[-0.647792616504616, -0.6555136920700004, -0.6485128964109002, -0.6542499076911553, -0.6781102332647608, -0.6052928989357071, -0.6380057112087181, -0.6283895373702514, -0.6805233666438821, -0.6684175232655709]","[-0.6632493875985819, -0.698018929132409, -0.6788290520362622, -0.656851765710977, -0.6776650849333048, -0.6770369330756907, -0.6422349870096064, -0.6774504499964665, -0.6768561513080891, -0.6598403435391215]","[-0.599768291884335, -0.5972850430197417, -0.6094928646655849, -0.612073337468452, -0.5835065362796076, -0.591622901950993, -0.5947432613539845, -0.5769075658550017, -0.5833124898288338, -0.610032187837496]","[-0.6138472264339687, -0.6035000374107191, -0.6201232466381356, -0.6172711823886482, -0.6044641696737779, -0.6529134206732952, -0.645292837769122, -0.6340219019031395, -0.616286825104399, -0.6211442107323936]"
